threshold,accuracy,precision,recall,f1_score
0.3,0.49377968785342685,0.2795707732634338,0.9560224089635855,0.4326277094688807
0.4,0.5204139334992083,0.2872368079022615,0.9285714285714286,0.4387532261266627
0.5,0.5737955213752545,0.3030483566676596,0.8549019607843137,0.4474745253280552
0.6,0.738181406921511,0.36541391569324533,0.4030812324929972,0.38332445391582315
0.7,0.7980095001130966,0.25,0.00028011204481792715,0.0005595970900951314
